Epoch,Train_Loss,Train_Acc,Test_Loss,Test_Acc
0,5.198092460632324,0.006788511760532856,4.952311992645264,0.006935898680239916
200,0.05614820867776871,0.9997389316558838,19.749691009521484,0.0004474773595575243
400,0.004463459365069866,1.0,22.448562622070312,0.0005593466921709478
600,0.0005214631091803312,1.0,25.401399612426758,0.0011186933843418956
800,6.473401299444959e-05,1.0,28.67079734802246,0.0012305626878514886
1000,8.679450729687233e-06,1.0,31.946533203125,0.0014543014112859964
1200,1.4938495951355435e-06,1.0,34.77478790283203,0.0017899094382300973
1400,5.861797376383038e-07,1.0,35.346805572509766,0.0017899094382300973
1600,0.0015293075703084469,1.0,22.475454330444336,0.0019017787417396903
1800,0.011332071386277676,1.0,15.323138236999512,0.0014543014112859964
2000,0.0015810893382877111,1.0,19.382516860961914,0.0014543014112859964
2200,0.00020281304023228586,1.0,23.563325881958008,0.0016780400183051825
2400,2.6396095563541166e-05,1.0,27.645822525024414,0.0019017787417396903
2600,3.830126388493227e-06,1.0,31.380779266357422,0.002013648161664605
2800,8.610457484792278e-07,1.0,33.84459686279297,0.002013648161664605
3000,0.0010862802155315876,1.0,21.404491424560547,0.002125517465174198
3200,0.0031236009672284126,1.0,17.184926986694336,0.0017899094382300973
3400,0.0004217781824991107,1.0,21.162662506103516,0.0015661707147955894
3600,5.4366359108826146e-05,1.0,25.20131492614746,0.0017899094382300973
3800,7.381417617580155e-06,1.0,29.06304931640625,0.002013648161664605
4000,1.3059476486887434e-06,1.0,32.169952392578125,0.0017899094382300973
4200,0.0006334013887681067,1.0,25.605022430419922,0.00257299467921257
4400,0.00641629658639431,1.0,15.42701244354248,0.0017899094382300973
4600,0.000916033168323338,1.0,19.261457443237305,0.0013424319913610816
4800,0.00011912515765288845,1.0,23.27683448791504,0.0015661707147955894
5000,1.5744433767395094e-05,1.0,27.19463539123535,0.002237386768683791
5200,2.415960807411466e-06,1.0,30.69803237915039,0.002125517465174198
5400,6.505776468657132e-07,1.0,32.70194625854492,0.002125517465174198
5600,0.0034763114526867867,1.0,16.283607482910156,0.002349256072193384
5800,0.0005896655493415892,1.0,19.702478408813477,0.002237386768683791
6000,7.71145278122276e-05,1.0,23.643775939941406,0.0019017787417396903
6200,1.0313186066923663e-05,1.0,27.481342315673828,0.002125517465174198
6400,1.6784836134320358e-06,1.0,30.7432918548584,0.002461125375702977
6600,0.004515009466558695,1.0,28.97838592529297,0.0035798188764601946
6800,0.009586933068931103,1.0,14.172462463378906,0.00257299467921257
7000,0.0014837784692645073,1.0,17.580434799194336,0.002461125375702977
7200,0.0001947553246282041,1.0,21.356853485107422,0.002237386768683791
7400,2.5495202862657607e-05,1.0,25.135427474975586,0.00257299467921257
7600,3.6833098420174792e-06,1.0,28.65081787109375,0.00257299467921257
7800,8.059853371378267e-07,1.0,31.019527435302734,0.00257299467921257
8000,0.0034930547699332237,1.0,16.411235809326172,0.003132341429591179
8200,0.0031753131188452244,1.0,15.748656272888184,0.003020472126081586
8400,0.00042505370220169425,1.0,19.395544052124023,0.003132341429591179
8600,5.4930540500208735e-05,1.0,23.11651039123535,0.003132341429591179
8800,7.4393719842191786e-06,1.0,26.678977966308594,0.003020472126081586
9000,1.293622062803479e-06,1.0,29.5793399810791,0.003244210733100772
9200,0.000794260879047215,1.0,22.75667381286621,0.00413916539400816
9400,0.008012853562831879,1.0,13.78913402557373,0.00402729632332921
9600,0.0011475487845018506,1.0,17.188724517822266,0.0038035574834793806
9800,0.00014893378829583526,1.0,20.791316986083984,0.004586642608046532
10000,1.9511084246914834e-05,1.0,24.347375869750977,0.004474773537367582
10200,2.8880342597403796e-06,1.0,27.585969924926758,0.004362904001027346
10400,6.814225912421534e-07,1.0,29.626758575439453,0.004474773537367582
10600,0.00888122245669365,1.0,13.640108108520508,0.004922250751405954
10800,0.005339686758816242,1.0,14.021354675292969,0.004362904001027346
11000,0.0007167907315306365,1.0,17.338817596435547,0.004362904001027346
11200,9.201302600558847e-05,1.0,20.75164222717285,0.005034120287746191
11400,1.2154367141192779e-05,1.0,24.064355850219727,0.005034120287746191
11600,1.9188628357369453e-06,1.0,26.90686798095703,0.005257858894765377
11800,5.38713891273801e-07,1.0,28.595264434814453,0.005929074715822935
12000,0.005912986118346453,1.0,13.163561820983887,0.006152813322842121
